RT,RT_log,current_task,CurvCond,SizeCond,accuracy,condition,participant,block
657.609756097561,6.45301860986826,JudgeSize,Cu,Sm,0.983333333333333,04-SizeTask-SmallCurvy,10,1
657.609756097561,6.45301860986826,JudgeSize,Cu,Sm,0.983333333333333,04-SizeTask-SmallCurvy,10,4
456.794871794872,6.10345871048231,JudgeCurviness,Bo,Bi,0.966666666666667,05-CurvTask-BigBoxy,10,2
456.794871794872,6.10345871048231,JudgeCurviness,Bo,Bi,0.966666666666667,05-CurvTask-BigBoxy,10,3
494.594594594595,6.18434511689908,JudgeCurviness,Cu,Bi,0.944444444444444,06-CurvTask-BigCurvy,10,2
494.594594594595,6.18434511689908,JudgeCurviness,Cu,Bi,0.944444444444444,06-CurvTask-BigCurvy,10,3
465.190476190476,6.12674390682755,JudgeCurviness,Bo,Sm,0.966666666666667,07-CurvTask-SmallBoxy,10,2
465.190476190476,6.12674390682755,JudgeCurviness,Bo,Sm,0.966666666666667,07-CurvTask-SmallBoxy,10,3
476.658227848101,6.15042561835527,JudgeCurviness,Cu,Sm,0.966666666666667,08-CurvTask-SmallCurvy,10,2
476.658227848101,6.15042561835527,JudgeCurviness,Cu,Sm,0.966666666666667,08-CurvTask-SmallCurvy,10,3
647.585365853659,6.46105596114002,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,11,2
647.585365853659,6.46105596114002,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,11,3
707.428571428571,6.5369161058932,JudgeSize,Cu,Bi,0.927777777777778,02-SizeTask-BigCurvy,11,2
707.428571428571,6.5369161058932,JudgeSize,Cu,Bi,0.927777777777778,02-SizeTask-BigCurvy,11,3
724.623376623377,6.5596402654195,JudgeSize,Bo,Sm,0.983333333333333,03-SizeTask-SmallBoxy,11,2
724.623376623377,6.5596402654195,JudgeSize,Bo,Sm,0.983333333333333,03-SizeTask-SmallBoxy,11,3
686.421686746988,6.50511044327631,JudgeSize,Cu,Sm,0.972222222222222,04-SizeTask-SmallCurvy,11,2
686.421686746988,6.50511044327631,JudgeSize,Cu,Sm,0.972222222222222,04-SizeTask-SmallCurvy,11,3
550.592592592593,6.304813487946,JudgeCurviness,Bo,Bi,0.983333333333333,05-CurvTask-BigBoxy,11,1
550.592592592593,6.304813487946,JudgeCurviness,Bo,Bi,0.983333333333333,05-CurvTask-BigBoxy,11,4
648.92,6.4511958342333,JudgeCurviness,Cu,Bi,0.944444444444444,06-CurvTask-BigCurvy,11,1
648.92,6.4511958342333,JudgeCurviness,Cu,Bi,0.944444444444444,06-CurvTask-BigCurvy,11,4
570.582278481013,6.33528508867961,JudgeCurviness,Bo,Sm,0.933333333333333,07-CurvTask-SmallBoxy,11,1
570.582278481013,6.33528508867961,JudgeCurviness,Bo,Sm,0.933333333333333,07-CurvTask-SmallBoxy,11,4
574.192771084337,6.33721217226789,JudgeCurviness,Cu,Sm,0.961111111111111,08-CurvTask-SmallCurvy,11,1
574.192771084337,6.33721217226789,JudgeCurviness,Cu,Sm,0.961111111111111,08-CurvTask-SmallCurvy,11,4
675.036585365854,6.47535122218951,JudgeSize,Bo,Bi,0.994444444444444,01-SizeTask-BigBoxy,12,2
675.036585365854,6.47535122218951,JudgeSize,Bo,Bi,0.994444444444444,01-SizeTask-BigBoxy,12,3
673.316455696203,6.48862851635143,JudgeSize,Cu,Bi,0.988888888888889,02-SizeTask-BigCurvy,12,2
673.316455696203,6.48862851635143,JudgeSize,Cu,Bi,0.988888888888889,02-SizeTask-BigCurvy,12,3
666.4875,6.4850380829428,JudgeSize,Bo,Sm,0.983333333333333,03-SizeTask-SmallBoxy,12,2
666.4875,6.4850380829428,JudgeSize,Bo,Sm,0.983333333333333,03-SizeTask-SmallBoxy,12,3
692.2625,6.51103994358606,JudgeSize,Cu,Sm,0.994444444444444,04-SizeTask-SmallCurvy,12,2
692.2625,6.51103994358606,JudgeSize,Cu,Sm,0.994444444444444,04-SizeTask-SmallCurvy,12,3
540.567901234568,6.28425390269924,JudgeCurviness,Bo,Bi,0.977777777777778,05-CurvTask-BigBoxy,12,1
540.567901234568,6.28425390269924,JudgeCurviness,Bo,Bi,0.977777777777778,05-CurvTask-BigBoxy,12,4
553.430379746835,6.30549569962742,JudgeCurviness,Cu,Bi,0.988888888888889,06-CurvTask-BigCurvy,12,1
553.430379746835,6.30549569962742,JudgeCurviness,Cu,Bi,0.988888888888889,06-CurvTask-BigCurvy,12,4
576.157894736842,6.34426822357575,JudgeCurviness,Bo,Sm,0.994444444444444,07-CurvTask-SmallBoxy,12,1
576.157894736842,6.34426822357575,JudgeCurviness,Bo,Sm,0.994444444444444,07-CurvTask-SmallBoxy,12,4
563.493670886076,6.32203348704364,JudgeCurviness,Cu,Sm,0.983333333333333,08-CurvTask-SmallCurvy,12,1
563.493670886076,6.32203348704364,JudgeCurviness,Cu,Sm,0.983333333333333,08-CurvTask-SmallCurvy,12,4
612.939024390244,6.40733782522468,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,13,1
612.939024390244,6.40733782522468,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,13,4
655.520547945206,6.46483112108846,JudgeSize,Cu,Bi,0.944444444444444,02-SizeTask-BigCurvy,13,1
655.520547945206,6.46483112108846,JudgeSize,Cu,Bi,0.944444444444444,02-SizeTask-BigCurvy,13,4
657.925925925926,6.47050659937347,JudgeSize,Bo,Sm,0.933333333333333,03-SizeTask-SmallBoxy,13,1
657.925925925926,6.47050659937347,JudgeSize,Bo,Sm,0.933333333333333,03-SizeTask-SmallBoxy,13,4
608.987951807229,6.39585630859614,JudgeSize,Cu,Sm,0.961111111111111,04-SizeTask-SmallCurvy,13,1
608.987951807229,6.39585630859614,JudgeSize,Cu,Sm,0.961111111111111,04-SizeTask-SmallCurvy,13,4
570.738095238095,6.33183012383532,JudgeCurviness,Bo,Bi,0.972222222222222,05-CurvTask-BigBoxy,13,2
570.738095238095,6.33183012383532,JudgeCurviness,Bo,Bi,0.972222222222222,05-CurvTask-BigBoxy,13,3
609.717948717949,6.39710710240236,JudgeCurviness,Cu,Bi,0.911111111111111,06-CurvTask-BigCurvy,13,2
609.717948717949,6.39710710240236,JudgeCurviness,Cu,Bi,0.911111111111111,06-CurvTask-BigCurvy,13,3
602.837837837838,6.37755391381538,JudgeCurviness,Bo,Sm,0.961111111111111,07-CurvTask-SmallBoxy,13,2
602.837837837838,6.37755391381538,JudgeCurviness,Bo,Sm,0.961111111111111,07-CurvTask-SmallBoxy,13,3
607.721518987342,6.39623561854367,JudgeCurviness,Cu,Sm,0.972222222222222,08-CurvTask-SmallCurvy,13,2
607.721518987342,6.39623561854367,JudgeCurviness,Cu,Sm,0.972222222222222,08-CurvTask-SmallCurvy,13,3
646.179775280899,6.44375745444077,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,14,1
646.179775280899,6.44375745444077,JudgeSize,Bo,Bi,0.977777777777778,01-SizeTask-BigBoxy,14,4
638.280487804878,6.44183584040197,JudgeSize,Cu,Bi,0.983333333333333,02-SizeTask-BigCurvy,14,1
638.280487804878,6.44183584040197,JudgeSize,Cu,Bi,0.983333333333333,02-SizeTask-BigCurvy,14,4
648.792682926829,6.4475848577407,JudgeSize,Bo,Sm,0.972222222222222,03-SizeTask-SmallBoxy,14,1
