RT,RT_log,condition,participant,current_task,CurvCond,SizeCond,SizeCurv,congruent,accuracy
666.4875,6.4850380829428,03-SizeTask-SmallBoxy,12,JudgeSize,Bo,Sm,Sm Bo,0,0.983333333333333
692.2625,6.51103994358606,04-SizeTask-SmallCurvy,12,JudgeSize,Cu,Sm,Sm Cu,0,0.994444444444444
540.567901234568,6.28425390269924,05-CurvTask-BigBoxy,12,JudgeCurviness,Bo,Bi,Bi Bo,0,0.977777777777778
553.430379746835,6.30549569962742,06-CurvTask-BigCurvy,12,JudgeCurviness,Cu,Bi,Bi Cu,0,0.988888888888889
576.157894736842,6.34426822357575,07-CurvTask-SmallBoxy,12,JudgeCurviness,Bo,Sm,Sm Bo,0,0.994444444444444
563.493670886076,6.32203348704364,08-CurvTask-SmallCurvy,12,JudgeCurviness,Cu,Sm,Sm Cu,0,0.983333333333333
612.939024390244,6.40733782522468,01-SizeTask-BigBoxy,13,JudgeSize,Bo,Bi,Bi Bo,1,0.977777777777778
655.520547945206,6.46483112108846,02-SizeTask-BigCurvy,13,JudgeSize,Cu,Bi,Bi Cu,1,0.944444444444444
657.925925925926,6.47050659937347,03-SizeTask-SmallBoxy,13,JudgeSize,Bo,Sm,Sm Bo,1,0.933333333333333
608.987951807229,6.39585630859614,04-SizeTask-SmallCurvy,13,JudgeSize,Cu,Sm,Sm Cu,1,0.961111111111111
570.738095238095,6.33183012383532,05-CurvTask-BigBoxy,13,JudgeCurviness,Bo,Bi,Bi Bo,1,0.972222222222222
609.717948717949,6.39710710240236,06-CurvTask-BigCurvy,13,JudgeCurviness,Cu,Bi,Bi Cu,1,0.911111111111111
602.837837837838,6.37755391381538,07-CurvTask-SmallBoxy,13,JudgeCurviness,Bo,Sm,Sm Bo,1,0.961111111111111
607.721518987342,6.39623561854367,08-CurvTask-SmallCurvy,13,JudgeCurviness,Cu,Sm,Sm Cu,1,0.972222222222222
646.179775280899,6.44375745444077,01-SizeTask-BigBoxy,14,JudgeSize,Bo,Bi,Bi Bo,0,0.977777777777778
638.280487804878,6.44183584040197,02-SizeTask-BigCurvy,14,JudgeSize,Cu,Bi,Bi Cu,0,0.983333333333333
648.792682926829,6.4475848577407,03-SizeTask-SmallBoxy,14,JudgeSize,Bo,Sm,Sm Bo,0,0.972222222222222
620.771084337349,6.40593358771304,04-SizeTask-SmallCurvy,14,JudgeSize,Cu,Sm,Sm Cu,0,0.988888888888889
626.146341463415,6.41776926327194,05-CurvTask-BigBoxy,14,JudgeCurviness,Bo,Bi,Bi Bo,0,0.994444444444444
638.172413793103,6.42650626673078,06-CurvTask-BigCurvy,14,JudgeCurviness,Cu,Bi,Bi Cu,0,0.961111111111111
617.313253012048,6.40227414581389,07-CurvTask-SmallBoxy,14,JudgeCurviness,Bo,Sm,Sm Bo,0,0.966666666666667
639.954545454545,6.43645037222483,08-CurvTask-SmallCurvy,14,JudgeCurviness,Cu,Sm,Sm Cu,0,0.977777777777778
419.204545454545,6.02623592104863,01-SizeTask-BigBoxy,15,JudgeSize,Bo,Bi,Bi Bo,1,0.977777777777778
